family,sub_op,npu_op_type,input_shapes,runs_seen,total_calls,total_ms,min_us,avg_us,median_us
Comm,all_gather,hcom_allGather_,N/A,11,41407,1477.6,5.90,35.68,10.07
Comm,all_reduce,hcom_allReduce_,N/A,5,74786,1028.4,4.06,13.75,6.28
Comm,all_to_all,hcom_alltoall_,N/A,6,4324,1652.9,9.02,382.26,94.19
Comm,all_to_all_v,hcom_alltoallv_,N/A,6,456,218.6,24.02,479.47,162.40
Comm,allgatherAicpuKernel,allgatherAicpuKernel,N/A,8,365,101.7,114.25,278.73,232.82
Comm,batch_get,hccl_batchGet_,N/A,4,132,253.1,5.36,1917.57,252.03
Comm,batch_get_aicpu,batch_getAicpuKernel,N/A,4,134,349.8,21.94,2610.68,35.75
Comm,batch_putAicpuKernel,batch_putAicpuKernel,N/A,1,32,1.7,23.28,53.48,28.73
Comm,broadcast,hcom_broadcast_,N/A,6,2964,32346.3,482.83,10913.06,516.66
Comm,broadcast_aicpu,broadcastAicpuKernel,N/A,6,2964,59939.8,495.55,20222.60,556.85
Comm,reduce_scatter,hcom_reduceScatter_,N/A,6,2616,22785.9,10.88,8710.22,201.06
Comm,reduce_scatter_aicpu,reduce_scatterAicpuKernel,N/A,6,2464,52283.3,193.10,21218.88,210.82
DSA_Attention,indexer,LightningIndexer,"3,32,128;1765,128,1,128;3,32;1;1;1,1584",3,8720,301.4,25.60,34.56,32.68
DSA_Attention,indexer,LightningIndexer,"9,32,128;1765,128,1,128;9,32;3;3;3,1584",2,3760,251.8,38.02,66.97,48.34
DSA_Attention,indexer,LightningIndexer,"6,32,128;1765,128,1,128;6,32;2;2;2,1584",2,3680,220.5,36.00,59.93,47.52
DSA_Attention,indexer,LightningIndexer,"27,32,128;1765,128,1,128;27,32;9;9;9,1584",1,1482,95.7,56.08,64.60,60.52
DSA_Attention,indexer,LightningIndexer,"256,32,128;1678,128,1,128;256,32;1;1;1,1584",2,1120,208.5,25.10,186.19,93.54
DSA_Attention,indexer,LightningIndexer,"256,32,128;1681,128,1,128;256,32;1;1;1,1584",1,400,98.4,26.26,246.01,141.75
DSA_Attention,indexer,LightningIndexer,"21,32,128;1765,128,1,128;21,32;7;7;7,1584",1,316,19.1,46.12,60.48,53.22
DSA_Attention,indexer,LightningIndexer,"256,32,128;1680,128,1,128;256,32;1;1;1,1584",1,160,17.1,26.78,106.95,45.54
DSA_Attention,indexer,LightningIndexer,"256,32,128;1681,128,1,128;256,32;5;5;5,1584",1,160,16.6,27.52,104.04,65.28
DSA_Attention,indexer,LightningIndexer,"15,32,128;1765,128,1,128;15,32;5;5;5,1584",1,160,9.5,44.14,59.33,51.88
DSA_Attention,indexer,LightningIndexer,"256,32,128;1678,128,1,128;256,32;5;5;5,1584",1,80,7.7,29.82,96.37,63.72
DSA_Attention,indexer,LightningIndexer,"256,32,128;1678,128,1,128;256,32;6;6;6,1584",1,80,9.7,33.66,121.43,77.96
DSA_Attention,indexer,LightningIndexer,"114,32,128;1680,128,1,128;114,32;1;1;1,1584",1,80,10.5,35.20,130.71,83.90
DSA_Attention,indexer,LightningIndexer,"256,32,128;1681,128,1,128;256,32;4;4;4,1584",1,80,7.6,26.04,94.49,61.06
DSA_Attention,indexer,LightningIndexer,"12,32,128;1765,128,1,128;12,32;4;4;4,1584",1,80,4.4,40.80,55.55,48.31
DSA_Attention,indexer,LightningIndexer,"24,32,128;1765,128,1,128;24,32;8;8;8,1584",1,38,2.2,48.48,58.93,53.68
DSA_Attention,indexer,LightningIndexer,"18,32,128;1765,128,1,128;18,32;6;6;6,1584",1,4,0.2,46.62,53.87,49.79
DSA_Attention,mla_preprocess,mla_preprocess_0_mix_aic,N/A,5,17784,1230.8,59.66,69.21,64.23
DSA_Attention,mla_preprocess,mla_preprocess,N/A,5,456,31.3,61.56,68.64,63.97
DSA_Attention,sfa_kernel,SparseFlashAttention,"3,16,512;1765,128,1,512;1765,128,1,512;3,1,2048;1,1584;1;1;3,16,64;1765,128,1,64",3,8719,777.5,83.52,89.17,86.06
DSA_Attention,sfa_kernel,SparseFlashAttention,"9,16,512;1765,128,1,512;1765,128,1,512;9,1,2048;3,1584;3;3;9,16,64;1765,128,1,64",2,3760,347.1,86.04,92.31,88.86
DSA_Attention,sfa_kernel,SparseFlashAttention,"6,16,512;1765,128,1,512;1765,128,1,512;6,1,2048;2,1584;2;2;6,16,64;1765,128,1,64",2,3680,333.3,86.42,90.57,88.13
DSA_Attention,sfa_kernel,SparseFlashAttention,"27,16,512;1765,128,1,512;1765,128,1,512;27,1,2048;9,1584;9;9;27,16,64;1765,128,1,64",1,1482,230.6,150.41,155.62,152.75
DSA_Attention,sfa_kernel,SparseFlashAttention,"256,64,512;1678,128,1,512;1678,128,1,512;256,1,2048;1,1584;1;1;256,64,64;1678,128,1,64",2,1120,684.3,90.62,610.96,443.70
DSA_Attention,sfa_kernel,SparseFlashAttention,"256,64,512;1681,128,1,512;1681,128,1,512;256,1,2048;1,1584;1;1;256,64,64;1681,128,1,64",1,400,265.1,92.40,662.77,446.21
DSA_Attention,sfa_kernel,SparseFlashAttention,"21,16,512;1765,128,1,512;1765,128,1,512;21,1,2048;7,1584;7;7;21,16,64;1765,128,1,64",1,316,30.1,88.32,95.11,91.63
DSA_Attention,sfa_kernel,SparseFlashAttention,"256,64,512;1680,128,1,512;1680,128,1,512;256,1,2048;1,1584;1;1;256,64,64;1680,128,1,64",1,160,77.1,92.36,481.96,133.99
DSA_Attention,sfa_kernel,SparseFlashAttention,"256,64,512;1681,128,1,512;1681,128,1,512;256,1,2048;5,1584;5;5;256,64,64;1681,128,1,64",1,160,130.2,95.22,813.59,463.47
DSA_Attention,sfa_kernel,SparseFlashAttention,"15,16,512;1765,128,1,512;1765,128,1,512;15,1,2048;5,1584;5;5;15,16,64;1765,128,1,64",1,160,15.0,88.10,93.76,90.88
DSA_Attention,sfa_kernel,SparseFlashAttention,"256,64,512;1678,128,1,512;1678,128,1,512;256,1,2048;5,1584;5;5;256,64,64;1678,128,1,64",1,80,65.2,92.76,815.14,462.53
DSA_Attention,sfa_kernel,SparseFlashAttention,"256,64,512;1678,128,1,512;1678,128,1,512;256,1,2048;6,1584;6;6;256,64,64;1678,128,1,64",1,80,65.6,95.60,820.61,466.35
DSA_Attention,sfa_kernel,SparseFlashAttention,"114,64,512;1680,128,1,512;1680,128,1,512;114,1,2048;1,1584;1;1;114,64,64;1680,128,1,64",1,80,30.5,92.38,381.17,239.35
DSA_Attention,sfa_kernel,SparseFlashAttention,"256,64,512;1681,128,1,512;1681,128,1,512;256,1,2048;4,1584;4;4;256,64,64;1681,128,1,64",1,80,58.9,95.54,736.84,424.83
DSA_Attention,sfa_kernel,SparseFlashAttention,"12,16,512;1765,128,1,512;1765,128,1,512;12,1,2048;4,1584;4;4;12,16,64;1765,128,1,64",1,80,7.4,88.16,92.01,89.90
DSA_Attention,sfa_kernel,SparseFlashAttention,"24,16,512;1765,128,1,512;1765,128,1,512;24,1,2048;8,1584;8;8;24,16,64;1765,128,1,64",1,38,3.6,88.64,95.08,91.12
DSA_Attention,sfa_kernel,SparseFlashAttention,"18,16,512;1765,128,1,512;1765,128,1,512;18,1,2048;6,1584;6;6;18,16,64;1765,128,1,64",1,4,0.4,88.94,93.77,91.19
ElementWise,add,Add,"256,6144;256,6144",6,2844,33.3,6.20,11.70,8.90
ElementWise,add,Add,1;,7,393,0.6,1.32,1.52,1.43
ElementWise,add,Add,2;,4,247,0.4,1.38,1.57,1.47
ElementWise,add,Add,"1,154880;",7,240,2.2,6.60,9.22,7.80
ElementWise,add,Add,"3,6144;3,6144",3,218,0.9,3.78,4.34,4.14
ElementWise,add,Add,"114,6144;114,6144",2,158,1.6,3.90,10.08,6.93
ElementWise,add,Add,3;,2,141,0.2,1.34,1.53,1.50
ElementWise,add,Add,1;1,7,131,0.2,1.20,1.40,1.33
ElementWise,add,Add,"3,154880;",2,94,1.0,7.62,10.96,8.04
ElementWise,add,Add,"9,6144;9,6144",2,94,0.7,7.54,7.96,7.81
ElementWise,add,Add,"2,154880;",2,92,0.8,7.18,9.14,8.14
ElementWise,add,Add,"6,6144;6,6144",2,92,0.6,6.22,6.55,6.43
ElementWise,add,Add,8;,1,58,0.1,1.30,1.53,1.41
ElementWise,add,Add,6;,3,56,0.1,1.42,1.61,1.49
ElementWise,add,Add,4;,3,52,0.1,1.36,1.62,1.50
ElementWise,add,Add,3;3,2,47,0.1,1.32,1.47,1.51
ElementWise,add,Add,2;2,2,46,0.1,1.34,1.49,1.47
ElementWise,add,Add,"24,6144;24,6144",1,38,0.3,7.76,8.10,7.84
ElementWise,add,Add,"8,154880;",1,38,0.5,8.64,12.31,9.18
ElementWise,add,Add,16;,1,19,0.0,1.42,1.62,1.51
ElementWise,add,Add,8;8,1,19,0.0,1.38,1.57,1.46
ElementWise,add,Add,5;,3,15,0.0,1.44,1.56,1.52
ElementWise,add,Add,1365;,4,10,0.0,1.52,1.63,1.54
ElementWise,add,Add,"5,154880;",3,7,0.1,8.94,13.04,13.24
ElementWise,add,Add,7;,1,6,0.0,1.34,1.48,1.41
ElementWise,add,Add,5;5,3,5,0.0,1.36,1.62,1.62
ElementWise,add,Add,"6,154880;",2,5,0.1,9.18,10.56,12.28
ElementWise,add,Add,"15,6144;15,6144",1,4,0.0,7.78,7.94,7.87
ElementWise,add,Add,"18,6144;18,6144",1,4,0.0,7.82,8.69,7.87
ElementWise,add,Add,"21,6144;21,6144",1,4,0.0,7.94,7.99,7.97
ElementWise,add,Add,"7,154880;",1,4,0.0,9.24,9.58,9.41
ElementWise,add,Add,6;6,2,3,0.0,1.34,1.66,1.68
ElementWise,add,Add,"4,154880;",2,3,0.0,9.04,11.44,12.54
ElementWise,add,Add,4;4,2,2,0.0,1.48,1.55,1.55
ElementWise,add,Add,10;,1,2,0.0,1.54,1.66,1.60
ElementWise,add,Add,"12,6144;12,6144",1,2,0.0,8.06,9.34,8.70
ElementWise,add,Add,12;,1,2,0.0,1.48,1.57,1.52
ElementWise,add,Add,14;,1,2,0.0,1.46,1.54,1.50
ElementWise,add,Add,7;7,1,2,0.0,1.36,1.68,1.52
ElementWise,add,Add,608;,1,1,0.0,1.60,1.60,1.60
ElementWise,add_rmsnorm,AddRmsNormBias,"3,6144;3,6144;6144;6144",3,16896,65.4,3.46,3.87,3.69
ElementWise,add_rmsnorm,AddRmsNormBias,"9,6144;9,6144;6144;6144",2,7285,35.3,4.36,4.85,4.60
ElementWise,add_rmsnorm,AddRmsNormBias,"6,6144;6,6144;6144;6144",2,7130,30.6,3.94,4.29,4.09
ElementWise,add_rmsnorm,AddRmsNormBias,"256,6144;256,6144;6144;6144",6,5688,127.4,17.36,22.39,21.52
ElementWise,add_rmsnorm,AddRmsNormBias,"27,6144;27,6144;6144;6144",1,2907,23.3,7.08,8.00,7.51
