run,phase,isl,tp,dp,ep,rank,op_type,input_shapes,count,min_us,avg_us,median_us,max_us
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Add,"3,154880;",88,7.62,10.21,9.36,70.30
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Add,3;,132,1.34,1.53,1.52,1.90
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Add,3;3,44,1.32,1.45,1.44,1.78
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Add,6;,44,1.48,1.63,1.62,1.86
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Add,"9,6144;9,6144",88,7.54,7.96,7.83,11.00
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,AddRmsNormBias,"9,6144;9,6144;6144;6144",6820,4.52,4.86,4.82,8.76
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,AddRmsNormDynamicQuant,"9,6144;9,6144;6144;6144",88,6.98,7.49,7.24,22.60
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,AddRmsNormDynamicQuantAiCore,"9,6144;9,6144;6144;6144",44,7.18,7.68,7.63,8.34
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,ApplyTopKTopPCustom,"3,154880;3,154880;3;",44,276.72,356.04,284.32,1982.48
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,ApplyTopKTopPCustom,"6,154880;6,154880;6;",44,289.24,416.51,296.15,3749.78
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,ArgMaxV2,"3,154880;",132,53.96,54.71,54.69,55.76
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,AscendQuantV2,"9,2048;2048;2048",3476,9.68,10.78,10.04,20.66
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,AscendQuantV2,"9,4096;4096;4096",3476,9.70,10.98,10.02,20.54
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,AscendQuantV2Aicore,"9,2048;2048;2048",44,11.52,11.80,11.78,12.16
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,AscendQuantV2Aicore,"9,4096;4096;4096",44,9.70,9.93,9.92,10.22
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,BroadcastTo,1;1,176,1.28,1.44,1.42,1.94
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,BroadcastTo,;1,44,1.44,1.56,1.54,1.78
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,1,176,1.12,1.33,1.32,1.66
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,3,616,1.08,1.36,1.32,2.12
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,"3,1",44,1.28,1.44,1.38,1.72
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,"3,154880",88,4.08,6.52,6.52,9.94
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,"3,2",44,1.42,1.67,1.67,2.10
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,"3,3",88,1.10,1.29,1.28,1.74
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,"3,8",3388,1.04,2.08,1.34,7.80
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,6,88,93.60,128.43,123.86,230.76
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,"6,154880",44,7.80,8.22,8.13,10.06
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,9,572,1.08,1.34,1.30,2.00
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,Cast,"9,128",6952,1.12,1.35,1.32,10.60
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,CastAiCore,9,220,1.10,1.33,1.26,3.06
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,CastAiCore,"9,128",88,1.28,1.44,1.42,1.86
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,ClipByValueV2,3;;,44,5.02,5.40,5.40,5.90
dp0_pp0_tp0_dcp0_ep0_rank0_decode-20k,decode,20k,0,0,0,0,ConcatD,"9,6144;9,6144",88,3.66,3.89,3.86,4.16
