op_type,input_shapes,runs_seen,total_count,min_us,avg_us,median_us,max_us
Add,"256,6144;256,6144",6,2844,6.20,11.70,11.67,19.20
Add,1;,7,393,1.32,1.52,1.50,1.92
Add,2;,4,247,1.38,1.57,1.56,1.88
Add,"1,154880;",7,240,6.60,9.22,7.58,62.18
Add,"3,6144;3,6144",3,218,3.78,4.34,4.29,5.46
Add,"114,6144;114,6144",2,158,3.90,10.08,10.42,17.40
Add,3;,2,141,1.34,1.54,1.52,1.90
Add,1;1,7,131,1.20,1.40,1.36,1.96
Add,"3,154880;",2,94,7.62,10.96,9.36,70.30
Add,"9,6144;9,6144",2,94,7.54,7.96,7.84,11.00
Add,"2,154880;",2,92,7.18,9.14,8.14,49.32
Add,"6,6144;6,6144",2,92,6.22,6.54,6.46,9.16
Add,8;,1,58,1.30,1.53,1.52,1.84
Add,6;,3,56,1.42,1.61,1.60,1.86
Add,4;,3,52,1.36,1.62,1.60,2.06
Add,3;3,2,47,1.32,1.48,1.44,1.98
Add,2;2,2,46,1.34,1.49,1.46,1.88
Add,"8,154880;",1,38,8.64,12.31,9.72,64.90
Add,"24,6144;24,6144",1,38,7.76,8.10,7.93,11.36
Add,16;,1,19,1.42,1.62,1.60,1.76
Add,8;8,1,19,1.38,1.57,1.54,1.96
Add,5;,3,15,1.44,1.56,1.50,1.90
Add,1365;,4,10,1.52,1.63,1.62,1.84
Add,"5,154880;",3,7,8.94,13.04,13.24,19.42
Add,7;,1,6,1.34,1.48,1.48,1.60
Add,"6,154880;",2,5,9.18,10.56,9.44,15.24
Add,5;5,3,5,1.36,1.62,1.64,1.82
Add,"7,154880;",1,4,9.24,9.58,9.59,9.90
Add,"21,6144;21,6144",1,4,7.94,7.99,8.00,8.02
Add,"15,6144;15,6144",1,4,7.78,7.94,7.95,8.08
Add,"18,6144;18,6144",1,4,7.82,8.69,7.91,11.10
Add,"4,154880;",2,3,9.04,11.44,9.44,15.84
Add,6;6,2,3,1.34,1.66,1.74,1.90
Add,"12,6144;12,6144",1,2,8.06,9.34,9.34,10.62
Add,7;7,1,2,1.36,1.68,1.68,2.00
Add,10;,1,2,1.54,1.66,1.66,1.78
Add,12;,1,2,1.48,1.57,1.57,1.66
Add,4;4,2,2,1.48,1.55,1.55,1.62
Add,14;,1,2,1.46,1.54,1.54,1.62
Add,608;,1,1,1.60,1.60,1.60,1.60
AddRmsNormBias,"3,6144;3,6144;6144;6144",3,16896,3.46,3.87,3.84,13.54
AddRmsNormBias,"9,6144;9,6144;6144;6144",2,7285,4.36,4.85,4.82,8.76
AddRmsNormBias,"6,6144;6,6144;6144;6144",2,7130,3.94,4.29,4.26,11.46
AddRmsNormBias,"256,6144;256,6144;6144;6144",6,5688,17.36,22.39,22.44,29.70
AddRmsNormBias,"27,6144;27,6144;6144;6144",1,2907,7.08,8.00,7.94,16.18
AddRmsNormBias,"21,6144;21,6144;6144;6144",1,616,6.18,6.71,6.62,17.30
AddRmsNormBias,"114,6144;114,6144;6144;6144",2,316,12.24,15.30,15.38,20.00
AddRmsNormBias,"15,6144;15,6144;6144;6144",1,310,5.36,5.71,5.68,6.92
AddRmsNormBias,"12,6144;12,6144;6144;6144",1,155,4.88,5.20,5.16,7.80
AddRmsNormBias,"24,6144;24,6144;6144;6144",1,38,7.10,7.46,7.39,8.54
