OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Op Type,Batch,Seq Len,Num Heads,Num KV Heads,Head Size
dynamic,AI_CORE,"128,8,128;128,8,128;128,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,8,128",DT_BF16,ND,74.57,attention_context,1,128,8,0,128
dynamic,AI_CORE,"128,8,128;128,1,128;128,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,8,128",DT_BF16,ND,48.71,attention_context,1,128,8,1,128
dynamic,AI_CORE,"128,8,128;128,4,128;128,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,8,128",DT_BF16,ND,83.87,attention_context,1,128,8,4,128
dynamic,AI_CORE,"128,8,128;128,8,128;128,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,8,128",DT_BF16,ND,49.85,attention_context,1,128,8,8,128
dynamic,AI_CORE,"128,16,128;128,16,128;128,16,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,16,128",DT_BF16,ND,46.92,attention_context,1,128,16,0,128
dynamic,AI_CORE,"128,16,128;128,1,128;128,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,16,128",DT_BF16,ND,52.16,attention_context,1,128,16,1,128
dynamic,AI_CORE,"128,16,128;128,4,128;128,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,16,128",DT_BF16,ND,52.48,attention_context,1,128,16,4,128
dynamic,AI_CORE,"128,16,128;128,8,128;128,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,16,128",DT_BF16,ND,52.47,attention_context,1,128,16,8,128
dynamic,AI_CORE,"128,32,128;128,32,128;128,32,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,32,128",DT_BF16,ND,48.53,attention_context,1,128,32,0,128
dynamic,AI_CORE,"128,32,128;128,1,128;128,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,32,128",DT_BF16,ND,58.03,attention_context,1,128,32,1,128
dynamic,AI_CORE,"128,32,128;128,4,128;128,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"128,32,128",DT_BF16,ND,58.71,attention_context,1,128,32,4,128
