OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Op Type,Batch,Seq Len,Num Heads,Num KV Heads,Head Size
dynamic,AI_CORE,"1,8,128;1,128,1024;1,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,57.79,attention_generation,1,128,8,0,128
dynamic,AI_CORE,"1,8,128;1,128,128;1,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,59.40,attention_generation,1,128,8,1,128
dynamic,AI_CORE,"1,8,128;1,128,512;1,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,57.03,attention_generation,1,128,8,4,128
dynamic,AI_CORE,"1,8,128;1,128,1024;1,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,59.01,attention_generation,1,128,8,8,128
dynamic,AI_CORE,"1,16,128;1,128,2048;1,128,2048",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,58.28,attention_generation,1,128,16,0,128
dynamic,AI_CORE,"1,16,128;1,128,128;1,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,60.10,attention_generation,1,128,16,1,128
dynamic,AI_CORE,"1,16,128;1,128,512;1,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,59.36,attention_generation,1,128,16,4,128
dynamic,AI_CORE,"1,16,128;1,128,1024;1,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,58.92,attention_generation,1,128,16,8,128
dynamic,AI_CORE,"1,32,128;1,128,4096;1,128,4096",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,63.17,attention_generation,1,128,32,0,128
dynamic,AI_CORE,"1,32,128;1,128,128;1,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,62.90,attention_generation,1,128,32,1,128
dynamic,AI_CORE,"1,32,128;1,128,512;1,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,60.62,attention_generation,1,128,32,4,128
dynamic,AI_CORE,"1,32,128;1,128,1024;1,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,59.97,attention_generation,1,128,32,8,128
dynamic,AI_CORE,"1,40,128;1,128,5120;1,128,5120",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,60.39,attention_generation,1,128,40,0,128
dynamic,AI_CORE,"1,40,128;1,128,128;1,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,60.07,attention_generation,1,128,40,1,128
dynamic,AI_CORE,"1,40,128;1,128,512;1,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,60.59,attention_generation,1,128,40,4,128
