OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Quant Type,Num Tokens,Hidden Size,Intermediate Size,Num Experts,TopK,EP Size,Local Experts,Model
dynamic,AI_CORE,"1,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"1,2048",DT_BF16,ND,106.99,bf16,1,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"2,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"2,2048",DT_BF16,ND,170.11,bf16,2,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"4,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"4,2048",DT_BF16,ND,298.71,bf16,4,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"8,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"8,2048",DT_BF16,ND,434.71,bf16,8,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"16,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"16,2048",DT_BF16,ND,654.04,bf16,16,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"32,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"32,2048",DT_BF16,ND,802.05,bf16,32,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"64,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"64,2048",DT_BF16,ND,836.54,bf16,64,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"128,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"128,2048",DT_BF16,ND,837.84,bf16,128,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"256,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"256,2048",DT_BF16,ND,849.06,bf16,256,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"512,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"512,2048",DT_BF16,ND,862.88,bf16,512,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"1024,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"1024,2048",DT_BF16,ND,902.66,bf16,1024,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"2048,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"2048,2048",DT_BF16,ND,1545.93,bf16,2048,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"4096,2048;64,2816,2048",DT_BF16;DT_BF16,ND;ND,"4096,2048",DT_BF16,ND,2462.33,bf16,4096,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,AI_CORE,"1,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"1,5120",DT_BF16,ND,68.27,bf16,1,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"2,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"2,5120",DT_BF16,ND,179.57,bf16,2,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"4,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"4,5120",DT_BF16,ND,249.05,bf16,4,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"8,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"8,5120",DT_BF16,ND,249.58,bf16,8,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"16,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"16,5120",DT_BF16,ND,628.40,bf16,16,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"32,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"32,5120",DT_BF16,ND,1064.52,bf16,32,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"64,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"64,5120",DT_BF16,ND,1366.47,bf16,64,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"128,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"128,5120",DT_BF16,ND,1461.43,bf16,128,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"256,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"256,5120",DT_BF16,ND,1477.52,bf16,256,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"512,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"512,5120",DT_BF16,ND,1494.32,bf16,512,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"1024,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"1024,5120",DT_BF16,ND,1547.22,bf16,1024,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"2048,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"2048,5120",DT_BF16,ND,1750.11,bf16,2048,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"4096,5120;40,3072,5120",DT_BF16;DT_BF16,ND;ND,"4096,5120",DT_BF16,ND,2797.29,bf16,4096,5120,1536,160,6,4,40,deepseek-v2
dynamic,AI_CORE,"1,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"1,7168",DT_BF16,ND,115.81,bf16,1,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"2,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"2,7168",DT_BF16,ND,115.43,bf16,2,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"4,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"4,7168",DT_BF16,ND,186.48,bf16,4,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"8,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"8,7168",DT_BF16,ND,594.03,bf16,8,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"16,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"16,7168",DT_BF16,ND,490.23,bf16,16,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"32,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"32,7168",DT_BF16,ND,1272.76,bf16,32,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"64,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"64,7168",DT_BF16,ND,1656.61,bf16,64,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"128,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"128,7168",DT_BF16,ND,1988.10,bf16,128,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"256,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"256,7168",DT_BF16,ND,2075.77,bf16,256,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"512,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"512,7168",DT_BF16,ND,2128.97,bf16,512,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"1024,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"1024,7168",DT_BF16,ND,2180.33,bf16,1024,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"2048,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"2048,7168",DT_BF16,ND,2693.24,bf16,2048,7168,2048,256,8,8,32,deepseek-v3
dynamic,AI_CORE,"4096,7168;32,4096,7168",DT_BF16;DT_BF16,ND;ND,"4096,7168",DT_BF16,ND,3649.70,bf16,4096,7168,2048,256,8,8,32,deepseek-v3
