OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Quant Type,Num Tokens,Hidden Size,Intermediate Size,Num Experts,TopK,EP Size,Local Experts,Model
dynamic,MIX_AIC,"1,2048;64,2816,2048",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,100.39,w8a8_dynamic,1,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"2,2048;64,2816,2048",INT8;INT8,ND;ND,"2,2048",DT_BF16,ND,125.33,w8a8_dynamic,2,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"4,2048;64,2816,2048",INT8;INT8,ND;ND,"4,2048",DT_BF16,ND,176.56,w8a8_dynamic,4,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"8,2048;64,2816,2048",INT8;INT8,ND;ND,"8,2048",DT_BF16,ND,266.77,w8a8_dynamic,8,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"16,2048;64,2816,2048",INT8;INT8,ND;ND,"16,2048",DT_BF16,ND,312.79,w8a8_dynamic,16,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"32,2048;64,2816,2048",INT8;INT8,ND;ND,"32,2048",DT_BF16,ND,393.06,w8a8_dynamic,32,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"64,2048;64,2816,2048",INT8;INT8,ND;ND,"64,2048",DT_BF16,ND,415.20,w8a8_dynamic,64,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"128,2048;64,2816,2048",INT8;INT8,ND;ND,"128,2048",DT_BF16,ND,430.16,w8a8_dynamic,128,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"256,2048;64,2816,2048",INT8;INT8,ND;ND,"256,2048",DT_BF16,ND,452.93,w8a8_dynamic,256,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"512,2048;64,2816,2048",INT8;INT8,ND;ND,"512,2048",DT_BF16,ND,500.57,w8a8_dynamic,512,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"1024,2048;64,2816,2048",INT8;INT8,ND;ND,"1024,2048",DT_BF16,ND,604.65,w8a8_dynamic,1024,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"2048,2048;64,2816,2048",INT8;INT8,ND;ND,"2048,2048",DT_BF16,ND,1147.79,w8a8_dynamic,2048,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"4096,2048;64,2816,2048",INT8;INT8,ND;ND,"4096,2048",DT_BF16,ND,1981.39,w8a8_dynamic,4096,2048,1408,64,6,1,64,deepseek-v2-lite
dynamic,MIX_AIC,"1,5120;40,3072,5120",INT8;INT8,ND;ND,"1,5120",DT_BF16,ND,61.63,w8a8_dynamic,1,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"2,5120;40,3072,5120",INT8;INT8,ND;ND,"2,5120",DT_BF16,ND,129.66,w8a8_dynamic,2,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"4,5120;40,3072,5120",INT8;INT8,ND;ND,"4,5120",DT_BF16,ND,158.76,w8a8_dynamic,4,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"8,5120;40,3072,5120",INT8;INT8,ND;ND,"8,5120",DT_BF16,ND,271.01,w8a8_dynamic,8,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"16,5120;40,3072,5120",INT8;INT8,ND;ND,"16,5120",DT_BF16,ND,358.55,w8a8_dynamic,16,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"32,5120;40,3072,5120",INT8;INT8,ND;ND,"32,5120",DT_BF16,ND,623.12,w8a8_dynamic,32,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"64,5120;40,3072,5120",INT8;INT8,ND;ND,"64,5120",DT_BF16,ND,641.45,w8a8_dynamic,64,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"128,5120;40,3072,5120",INT8;INT8,ND;ND,"128,5120",DT_BF16,ND,661.22,w8a8_dynamic,128,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"256,5120;40,3072,5120",INT8;INT8,ND;ND,"256,5120",DT_BF16,ND,694.66,w8a8_dynamic,256,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"512,5120;40,3072,5120",INT8;INT8,ND;ND,"512,5120",DT_BF16,ND,741.06,w8a8_dynamic,512,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"1024,5120;40,3072,5120",INT8;INT8,ND;ND,"1024,5120",DT_BF16,ND,815.12,w8a8_dynamic,1024,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"2048,5120;40,3072,5120",INT8;INT8,ND;ND,"2048,5120",DT_BF16,ND,970.67,w8a8_dynamic,2048,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"4096,5120;40,3072,5120",INT8;INT8,ND;ND,"4096,5120",DT_BF16,ND,1867.44,w8a8_dynamic,4096,5120,1536,160,6,4,40,deepseek-v2
dynamic,MIX_AIC,"1,7168;32,4096,7168",INT8;INT8,ND;ND,"1,7168",DT_BF16,ND,140.02,w8a8_dynamic,1,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"2,7168;32,4096,7168",INT8;INT8,ND;ND,"2,7168",DT_BF16,ND,159.92,w8a8_dynamic,2,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"4,7168;32,4096,7168",INT8;INT8,ND;ND,"4,7168",DT_BF16,ND,183.23,w8a8_dynamic,4,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"8,7168;32,4096,7168",INT8;INT8,ND;ND,"8,7168",DT_BF16,ND,404.96,w8a8_dynamic,8,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"16,7168;32,4096,7168",INT8;INT8,ND;ND,"16,7168",DT_BF16,ND,401.23,w8a8_dynamic,16,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"32,7168;32,4096,7168",INT8;INT8,ND;ND,"32,7168",DT_BF16,ND,654.69,w8a8_dynamic,32,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"64,7168;32,4096,7168",INT8;INT8,ND;ND,"64,7168",DT_BF16,ND,900.96,w8a8_dynamic,64,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"128,7168;32,4096,7168",INT8;INT8,ND;ND,"128,7168",DT_BF16,ND,1008.72,w8a8_dynamic,128,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"256,7168;32,4096,7168",INT8;INT8,ND;ND,"256,7168",DT_BF16,ND,1038.20,w8a8_dynamic,256,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"512,7168;32,4096,7168",INT8;INT8,ND;ND,"512,7168",DT_BF16,ND,1110.11,w8a8_dynamic,512,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"1024,7168;32,4096,7168",INT8;INT8,ND;ND,"1024,7168",DT_BF16,ND,1157.85,w8a8_dynamic,1024,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"2048,7168;32,4096,7168",INT8;INT8,ND;ND,"2048,7168",DT_BF16,ND,1546.34,w8a8_dynamic,2048,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"4096,7168;32,4096,7168",INT8;INT8,ND;ND,"4096,7168",DT_BF16,ND,2518.60,w8a8_dynamic,4096,7168,2048,256,8,8,32,deepseek-v3
dynamic,MIX_AIC,"1,7168;32,4096,7168",INT8;INT8,ND;ND,"1,7168",DT_BF16,ND,31.01,w8a8_dynamic,1,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"2,7168;32,4096,7168",INT8;INT8,ND;ND,"2,7168",DT_BF16,ND,136.40,w8a8_dynamic,2,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"4,7168;32,4096,7168",INT8;INT8,ND;ND,"4,7168",DT_BF16,ND,215.60,w8a8_dynamic,4,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"8,7168;32,4096,7168",INT8;INT8,ND;ND,"8,7168",DT_BF16,ND,344.02,w8a8_dynamic,8,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"16,7168;32,4096,7168",INT8;INT8,ND;ND,"16,7168",DT_BF16,ND,529.60,w8a8_dynamic,16,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"32,7168;32,4096,7168",INT8;INT8,ND;ND,"32,7168",DT_BF16,ND,744.92,w8a8_dynamic,32,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"64,7168;32,4096,7168",INT8;INT8,ND;ND,"64,7168",DT_BF16,ND,997.85,w8a8_dynamic,64,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"128,7168;32,4096,7168",INT8;INT8,ND;ND,"128,7168",DT_BF16,ND,1010.23,w8a8_dynamic,128,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"256,7168;32,4096,7168",INT8;INT8,ND;ND,"256,7168",DT_BF16,ND,1039.87,w8a8_dynamic,256,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"512,7168;32,4096,7168",INT8;INT8,ND;ND,"512,7168",DT_BF16,ND,1100.65,w8a8_dynamic,512,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"1024,7168;32,4096,7168",INT8;INT8,ND;ND,"1024,7168",DT_BF16,ND,1177.13,w8a8_dynamic,1024,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"2048,7168;32,4096,7168",INT8;INT8,ND;ND,"2048,7168",DT_BF16,ND,1537.78,w8a8_dynamic,2048,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"4096,7168;32,4096,7168",INT8;INT8,ND;ND,"4096,7168",DT_BF16,ND,2543.04,w8a8_dynamic,4096,7168,2048,256,8,8,32,glm-5
dynamic,MIX_AIC,"1,6144;8,18432,6144",INT8;INT8,ND;ND,"1,6144",DT_BF16,ND,205.90,w8a8_dynamic,1,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"2,6144;8,18432,6144",INT8;INT8,ND;ND,"2,6144",DT_BF16,ND,399.27,w8a8_dynamic,2,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"4,6144;8,18432,6144",INT8;INT8,ND;ND,"4,6144",DT_BF16,ND,295.59,w8a8_dynamic,4,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"8,6144;8,18432,6144",INT8;INT8,ND;ND,"8,6144",DT_BF16,ND,623.52,w8a8_dynamic,8,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"16,6144;8,18432,6144",INT8;INT8,ND;ND,"16,6144",DT_BF16,ND,482.14,w8a8_dynamic,16,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"32,6144;8,18432,6144",INT8;INT8,ND;ND,"32,6144",DT_BF16,ND,909.38,w8a8_dynamic,32,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"64,6144;8,18432,6144",INT8;INT8,ND;ND,"64,6144",DT_BF16,ND,930.28,w8a8_dynamic,64,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"128,6144;8,18432,6144",INT8;INT8,ND;ND,"128,6144",DT_BF16,ND,944.00,w8a8_dynamic,128,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"256,6144;8,18432,6144",INT8;INT8,ND;ND,"256,6144",DT_BF16,ND,952.84,w8a8_dynamic,256,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"512,6144;8,18432,6144",INT8;INT8,ND;ND,"512,6144",DT_BF16,ND,990.85,w8a8_dynamic,512,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"1024,6144;8,18432,6144",INT8;INT8,ND;ND,"1024,6144",DT_BF16,ND,1037.45,w8a8_dynamic,1024,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"2048,6144;8,18432,6144",INT8;INT8,ND;ND,"2048,6144",DT_BF16,ND,1299.53,w8a8_dynamic,2048,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"4096,6144;8,18432,6144",INT8;INT8,ND;ND,"4096,6144",DT_BF16,ND,2380.61,w8a8_dynamic,4096,6144,9216,32,2,4,8,minimax-text-01
dynamic,MIX_AIC,"1,3584;64,5120,3584",INT8;INT8,ND;ND,"1,3584",DT_BF16,ND,210.59,w8a8_dynamic,1,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"2,3584;64,5120,3584",INT8;INT8,ND;ND,"2,3584",DT_BF16,ND,346.41,w8a8_dynamic,2,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"4,3584;64,5120,3584",INT8;INT8,ND;ND,"4,3584",DT_BF16,ND,530.67,w8a8_dynamic,4,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"8,3584;64,5120,3584",INT8;INT8,ND;ND,"8,3584",DT_BF16,ND,789.61,w8a8_dynamic,8,3584,2560,64,8,1,64,qwen2-moe-57b
