OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Quant Type
dynamic,AI_CORE,"1,256;256,256",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,5.20,bf16
dynamic,AI_CORE,"1,512;256,512",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,5.23,bf16
dynamic,AI_CORE,"1,1024;256,1024",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,5.37,bf16
dynamic,AI_CORE,"1,2048;256,2048",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,5.98,bf16
dynamic,AI_CORE,"1,4096;256,4096",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,6.62,bf16
dynamic,AI_CORE,"1,7168;256,7168",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,7.53,bf16
dynamic,AI_CORE,"1,8192;256,8192",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,8.10,bf16
dynamic,AI_CORE,"1,12288;256,12288",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,9.62,bf16
dynamic,AI_CORE,"1,16384;256,16384",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,29.99,bf16
dynamic,AI_CORE,"1,256;512,256",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,5.33,bf16
dynamic,AI_CORE,"1,512;512,512",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,9.88,bf16
dynamic,AI_CORE,"1,1024;512,1024",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,9.99,bf16
dynamic,AI_CORE,"1,2048;512,2048",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,9.70,bf16
dynamic,AI_CORE,"1,4096;512,4096",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,10.02,bf16
dynamic,AI_CORE,"1,7168;512,7168",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,10.06,bf16
dynamic,AI_CORE,"1,8192;512,8192",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,9.79,bf16
dynamic,AI_CORE,"1,12288;512,12288",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,12.15,bf16
dynamic,AI_CORE,"1,16384;512,16384",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,29.94,bf16
dynamic,AI_CORE,"1,256;1024,256",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,6.07,bf16
dynamic,AI_CORE,"1,512;1024,512",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,6.37,bf16
dynamic,AI_CORE,"1,1024;1024,1024",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,8.68,bf16
dynamic,AI_CORE,"1,2048;1024,2048",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,11.45,bf16
dynamic,AI_CORE,"1,4096;1024,4096",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,16.96,bf16
dynamic,AI_CORE,"1,7168;1024,7168",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,25.37,bf16
dynamic,AI_CORE,"1,8192;1024,8192",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,28.06,bf16
dynamic,AI_CORE,"1,12288;1024,12288",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,39.17,bf16
dynamic,AI_CORE,"1,16384;1024,16384",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,50.32,bf16
dynamic,AI_CORE,"1,256;2048,256",DT_BF16;DT_BF16,ND;ND,"1,2048",DT_BF16,ND,5.94,bf16
dynamic,AI_CORE,"1,512;2048,512",DT_BF16;DT_BF16,ND;ND,"1,2048",DT_BF16,ND,6.80,bf16
dynamic,AI_CORE,"1,1024;2048,1024",DT_BF16;DT_BF16,ND;ND,"1,2048",DT_BF16,ND,8.69,bf16
dynamic,AI_CORE,"1,2048;2048,2048",DT_BF16;DT_BF16,ND;ND,"1,2048",DT_BF16,ND,11.40,bf16
dynamic,AI_CORE,"1,4096;2048,4096",DT_BF16;DT_BF16,ND;ND,"1,2048",DT_BF16,ND,16.88,bf16
dynamic,AI_CORE,"1,7168;2048,7168",DT_BF16;DT_BF16,ND;ND,"1,2048",DT_BF16,ND,25.28,bf16
dynamic,AI_CORE,"1,8192;2048,8192",DT_BF16;DT_BF16,ND;ND,"1,2048",DT_BF16,ND,24.75,bf16
dynamic,AI_CORE,"1,12288;2048,12288",DT_BF16;DT_BF16,ND;ND,"1,2048",DT_BF16,ND,49.39,bf16
dynamic,AI_CORE,"1,16384;2048,16384",DT_BF16;DT_BF16,ND;ND,"1,2048",DT_BF16,ND,61.81,bf16
dynamic,AI_CORE,"1,256;4096,256",DT_BF16;DT_BF16,ND;ND,"1,4096",DT_BF16,ND,6.54,bf16
dynamic,AI_CORE,"1,512;4096,512",DT_BF16;DT_BF16,ND;ND,"1,4096",DT_BF16,ND,7.67,bf16
dynamic,AI_CORE,"1,1024;4096,1024",DT_BF16;DT_BF16,ND;ND,"1,4096",DT_BF16,ND,9.13,bf16
dynamic,AI_CORE,"1,2048;4096,2048",DT_BF16;DT_BF16,ND;ND,"1,4096",DT_BF16,ND,11.95,bf16
dynamic,AI_CORE,"1,4096;4096,4096",DT_BF16;DT_BF16,ND;ND,"1,4096",DT_BF16,ND,22.99,bf16
dynamic,AI_CORE,"1,7168;4096,7168",DT_BF16;DT_BF16,ND;ND,"1,4096",DT_BF16,ND,52.51,bf16
dynamic,AI_CORE,"1,8192;4096,8192",DT_BF16;DT_BF16,ND;ND,"1,4096",DT_BF16,ND,54.44,bf16
dynamic,AI_CORE,"1,12288;4096,12288",DT_BF16;DT_BF16,ND;ND,"1,4096",DT_BF16,ND,92.94,bf16
dynamic,AI_CORE,"1,16384;4096,16384",DT_BF16;DT_BF16,ND;ND,"1,4096",DT_BF16,ND,116.52,bf16
dynamic,AI_CORE,"1,256;7168,256",DT_BF16;DT_BF16,ND;ND,"1,7168",DT_BF16,ND,7.54,bf16
dynamic,AI_CORE,"1,512;7168,512",DT_BF16;DT_BF16,ND;ND,"1,7168",DT_BF16,ND,8.51,bf16
dynamic,AI_CORE,"1,1024;7168,1024",DT_BF16;DT_BF16,ND;ND,"1,7168",DT_BF16,ND,14.63,bf16
dynamic,AI_CORE,"1,2048;7168,2048",DT_BF16;DT_BF16,ND;ND,"1,7168",DT_BF16,ND,26.93,bf16
dynamic,AI_CORE,"1,4096;7168,4096",DT_BF16;DT_BF16,ND;ND,"1,7168",DT_BF16,ND,54.33,bf16
dynamic,AI_CORE,"1,7168;7168,7168",DT_BF16;DT_BF16,ND;ND,"1,7168",DT_BF16,ND,100.13,bf16
dynamic,AI_CORE,"1,8192;7168,8192",DT_BF16;DT_BF16,ND;ND,"1,7168",DT_BF16,ND,84.65,bf16
dynamic,AI_CORE,"1,12288;7168,12288",DT_BF16;DT_BF16,ND;ND,"1,7168",DT_BF16,ND,156.80,bf16
dynamic,AI_CORE,"1,16384;7168,16384",DT_BF16;DT_BF16,ND;ND,"1,7168",DT_BF16,ND,201.92,bf16
dynamic,AI_CORE,"1,256;8192,256",DT_BF16;DT_BF16,ND;ND,"1,8192",DT_BF16,ND,6.98,bf16
dynamic,AI_CORE,"1,512;8192,512",DT_BF16;DT_BF16,ND;ND,"1,8192",DT_BF16,ND,8.86,bf16
dynamic,AI_CORE,"1,1024;8192,1024",DT_BF16;DT_BF16,ND;ND,"1,8192",DT_BF16,ND,12.05,bf16
dynamic,AI_CORE,"1,2048;8192,2048",DT_BF16;DT_BF16,ND;ND,"1,8192",DT_BF16,ND,19.38,bf16
dynamic,AI_CORE,"1,4096;8192,4096",DT_BF16;DT_BF16,ND;ND,"1,8192",DT_BF16,ND,56.61,bf16
dynamic,AI_CORE,"1,7168;8192,7168",DT_BF16;DT_BF16,ND;ND,"1,8192",DT_BF16,ND,101.68,bf16
dynamic,AI_CORE,"1,8192;8192,8192",DT_BF16;DT_BF16,ND;ND,"1,8192",DT_BF16,ND,101.83,bf16
dynamic,AI_CORE,"1,12288;8192,12288",DT_BF16;DT_BF16,ND;ND,"1,8192",DT_BF16,ND,165.09,bf16
dynamic,AI_CORE,"1,16384;8192,16384",DT_BF16;DT_BF16,ND;ND,"1,8192",DT_BF16,ND,209.02,bf16
dynamic,AI_CORE,"1,256;12288,256",DT_BF16;DT_BF16,ND;ND,"1,12288",DT_BF16,ND,7.96,bf16
dynamic,AI_CORE,"1,512;12288,512",DT_BF16;DT_BF16,ND;ND,"1,12288",DT_BF16,ND,9.64,bf16
dynamic,AI_CORE,"1,1024;12288,1024",DT_BF16;DT_BF16,ND;ND,"1,12288",DT_BF16,ND,12.87,bf16
dynamic,AI_CORE,"1,2048;12288,2048",DT_BF16;DT_BF16,ND;ND,"1,12288",DT_BF16,ND,33.46,bf16
dynamic,AI_CORE,"1,4096;12288,4096",DT_BF16;DT_BF16,ND;ND,"1,12288",DT_BF16,ND,73.48,bf16
dynamic,AI_CORE,"1,7168;12288,7168",DT_BF16;DT_BF16,ND;ND,"1,12288",DT_BF16,ND,142.97,bf16
dynamic,AI_CORE,"1,8192;12288,8192",DT_BF16;DT_BF16,ND;ND,"1,12288",DT_BF16,ND,144.60,bf16
dynamic,AI_CORE,"1,12288;12288,12288",DT_BF16;DT_BF16,ND;ND,"1,12288",DT_BF16,ND,239.79,bf16
dynamic,AI_CORE,"1,16384;12288,16384",DT_BF16;DT_BF16,ND;ND,"1,12288",DT_BF16,ND,291.47,bf16
dynamic,AI_CORE,"1,256;16384,256",DT_BF16;DT_BF16,ND;ND,"1,16384",DT_BF16,ND,8.93,bf16
dynamic,AI_CORE,"1,512;16384,512",DT_BF16;DT_BF16,ND;ND,"1,16384",DT_BF16,ND,11.35,bf16
dynamic,AI_CORE,"1,1024;16384,1024",DT_BF16;DT_BF16,ND;ND,"1,16384",DT_BF16,ND,25.65,bf16
dynamic,AI_CORE,"1,2048;16384,2048",DT_BF16;DT_BF16,ND;ND,"1,16384",DT_BF16,ND,52.56,bf16
dynamic,AI_CORE,"1,4096;16384,4096",DT_BF16;DT_BF16,ND;ND,"1,16384",DT_BF16,ND,97.16,bf16
dynamic,AI_CORE,"1,7168;16384,7168",DT_BF16;DT_BF16,ND;ND,"1,16384",DT_BF16,ND,195.77,bf16
dynamic,AI_CORE,"1,8192;16384,8192",DT_BF16;DT_BF16,ND;ND,"1,16384",DT_BF16,ND,196.19,bf16
dynamic,AI_CORE,"1,12288;16384,12288",DT_BF16;DT_BF16,ND;ND,"1,16384",DT_BF16,ND,324.91,bf16
dynamic,AI_CORE,"2,256;256,256",DT_BF16;DT_BF16,ND;ND,"2,256",DT_BF16,ND,5.21,bf16
dynamic,AI_CORE,"2,512;256,512",DT_BF16;DT_BF16,ND;ND,"2,256",DT_BF16,ND,5.30,bf16
dynamic,AI_CORE,"2,1024;256,1024",DT_BF16;DT_BF16,ND;ND,"2,256",DT_BF16,ND,5.63,bf16
dynamic,AI_CORE,"2,2048;256,2048",DT_BF16;DT_BF16,ND;ND,"2,256",DT_BF16,ND,5.78,bf16
dynamic,AI_CORE,"2,4096;256,4096",DT_BF16;DT_BF16,ND;ND,"2,256",DT_BF16,ND,6.35,bf16
dynamic,AI_CORE,"2,7168;256,7168",DT_BF16;DT_BF16,ND;ND,"2,256",DT_BF16,ND,7.07,bf16
dynamic,AI_CORE,"2,8192;256,8192",DT_BF16;DT_BF16,ND;ND,"2,256",DT_BF16,ND,7.58,bf16
dynamic,AI_CORE,"2,12288;256,12288",DT_BF16;DT_BF16,ND;ND,"2,256",DT_BF16,ND,8.89,bf16
dynamic,AI_CORE,"2,16384;256,16384",DT_BF16;DT_BF16,ND;ND,"2,256",DT_BF16,ND,29.58,bf16
dynamic,AI_CORE,"2,256;512,256",DT_BF16;DT_BF16,ND;ND,"2,512",DT_BF16,ND,5.43,bf16
dynamic,AI_CORE,"2,512;512,512",DT_BF16;DT_BF16,ND;ND,"2,512",DT_BF16,ND,8.12,bf16
dynamic,AI_CORE,"2,1024;512,1024",DT_BF16;DT_BF16,ND;ND,"2,512",DT_BF16,ND,5.64,bf16
dynamic,AI_CORE,"2,2048;512,2048",DT_BF16;DT_BF16,ND;ND,"2,512",DT_BF16,ND,6.16,bf16
dynamic,AI_CORE,"2,4096;512,4096",DT_BF16;DT_BF16,ND;ND,"2,512",DT_BF16,ND,7.26,bf16
dynamic,AI_CORE,"2,7168;512,7168",DT_BF16;DT_BF16,ND;ND,"2,512",DT_BF16,ND,8.48,bf16
dynamic,AI_CORE,"2,8192;512,8192",DT_BF16;DT_BF16,ND;ND,"2,512",DT_BF16,ND,9.17,bf16
dynamic,AI_CORE,"2,12288;512,12288",DT_BF16;DT_BF16,ND;ND,"2,512",DT_BF16,ND,11.36,bf16
dynamic,AI_CORE,"2,16384;512,16384",DT_BF16;DT_BF16,ND;ND,"2,512",DT_BF16,ND,29.52,bf16
dynamic,AI_CORE,"2,256;1024,256",DT_BF16;DT_BF16,ND;ND,"2,1024",DT_BF16,ND,5.99,bf16
dynamic,AI_CORE,"2,512;1024,512",DT_BF16;DT_BF16,ND;ND,"2,1024",DT_BF16,ND,6.25,bf16
dynamic,AI_CORE,"2,1024;1024,1024",DT_BF16;DT_BF16,ND;ND,"2,1024",DT_BF16,ND,8.62,bf16
dynamic,AI_CORE,"2,2048;1024,2048",DT_BF16;DT_BF16,ND;ND,"2,1024",DT_BF16,ND,11.38,bf16
dynamic,AI_CORE,"2,4096;1024,4096",DT_BF16;DT_BF16,ND;ND,"2,1024",DT_BF16,ND,16.90,bf16
dynamic,AI_CORE,"2,7168;1024,7168",DT_BF16;DT_BF16,ND;ND,"2,1024",DT_BF16,ND,25.21,bf16
dynamic,AI_CORE,"2,8192;1024,8192",DT_BF16;DT_BF16,ND;ND,"2,1024",DT_BF16,ND,27.98,bf16
dynamic,AI_CORE,"2,12288;1024,12288",DT_BF16;DT_BF16,ND;ND,"2,1024",DT_BF16,ND,39.02,bf16
dynamic,AI_CORE,"2,16384;1024,16384",DT_BF16;DT_BF16,ND;ND,"2,1024",DT_BF16,ND,50.07,bf16
dynamic,AI_CORE,"2,256;2048,256",DT_BF16;DT_BF16,ND;ND,"2,2048",DT_BF16,ND,5.89,bf16
dynamic,AI_CORE,"2,512;2048,512",DT_BF16;DT_BF16,ND;ND,"2,2048",DT_BF16,ND,6.81,bf16
dynamic,AI_CORE,"2,1024;2048,1024",DT_BF16;DT_BF16,ND;ND,"2,2048",DT_BF16,ND,8.61,bf16
dynamic,AI_CORE,"2,2048;2048,2048",DT_BF16;DT_BF16,ND;ND,"2,2048",DT_BF16,ND,11.38,bf16
dynamic,AI_CORE,"2,4096;2048,4096",DT_BF16;DT_BF16,ND;ND,"2,2048",DT_BF16,ND,16.93,bf16
dynamic,AI_CORE,"2,7168;2048,7168",DT_BF16;DT_BF16,ND;ND,"2,2048",DT_BF16,ND,25.20,bf16
dynamic,AI_CORE,"2,8192;2048,8192",DT_BF16;DT_BF16,ND;ND,"2,2048",DT_BF16,ND,25.06,bf16
dynamic,AI_CORE,"2,12288;2048,12288",DT_BF16;DT_BF16,ND;ND,"2,2048",DT_BF16,ND,47.65,bf16
dynamic,AI_CORE,"2,16384;2048,16384",DT_BF16;DT_BF16,ND;ND,"2,2048",DT_BF16,ND,61.84,bf16
dynamic,AI_CORE,"2,256;4096,256",DT_BF16;DT_BF16,ND;ND,"2,4096",DT_BF16,ND,6.62,bf16
dynamic,AI_CORE,"2,512;4096,512",DT_BF16;DT_BF16,ND;ND,"2,4096",DT_BF16,ND,7.67,bf16
dynamic,AI_CORE,"2,1024;4096,1024",DT_BF16;DT_BF16,ND;ND,"2,4096",DT_BF16,ND,9.15,bf16
dynamic,AI_CORE,"2,2048;4096,2048",DT_BF16;DT_BF16,ND;ND,"2,4096",DT_BF16,ND,12.01,bf16
dynamic,AI_CORE,"2,4096;4096,4096",DT_BF16;DT_BF16,ND;ND,"2,4096",DT_BF16,ND,24.55,bf16
dynamic,AI_CORE,"2,7168;4096,7168",DT_BF16;DT_BF16,ND;ND,"2,4096",DT_BF16,ND,53.28,bf16
dynamic,AI_CORE,"2,8192;4096,8192",DT_BF16;DT_BF16,ND;ND,"2,4096",DT_BF16,ND,52.83,bf16
dynamic,AI_CORE,"2,12288;4096,12288",DT_BF16;DT_BF16,ND;ND,"2,4096",DT_BF16,ND,91.42,bf16
dynamic,AI_CORE,"2,16384;4096,16384",DT_BF16;DT_BF16,ND;ND,"2,4096",DT_BF16,ND,116.62,bf16
dynamic,AI_CORE,"2,256;7168,256",DT_BF16;DT_BF16,ND;ND,"2,7168",DT_BF16,ND,7.64,bf16
dynamic,AI_CORE,"2,512;7168,512",DT_BF16;DT_BF16,ND;ND,"2,7168",DT_BF16,ND,8.67,bf16
dynamic,AI_CORE,"2,1024;7168,1024",DT_BF16;DT_BF16,ND;ND,"2,7168",DT_BF16,ND,14.63,bf16
dynamic,AI_CORE,"2,2048;7168,2048",DT_BF16;DT_BF16,ND;ND,"2,7168",DT_BF16,ND,22.90,bf16
dynamic,AI_CORE,"2,4096;7168,4096",DT_BF16;DT_BF16,ND;ND,"2,7168",DT_BF16,ND,54.24,bf16
dynamic,AI_CORE,"2,7168;7168,7168",DT_BF16;DT_BF16,ND;ND,"2,7168",DT_BF16,ND,98.17,bf16
dynamic,AI_CORE,"2,8192;7168,8192",DT_BF16;DT_BF16,ND;ND,"2,7168",DT_BF16,ND,85.75,bf16
dynamic,AI_CORE,"2,12288;7168,12288",DT_BF16;DT_BF16,ND;ND,"2,7168",DT_BF16,ND,156.12,bf16
dynamic,AI_CORE,"2,16384;7168,16384",DT_BF16;DT_BF16,ND;ND,"2,7168",DT_BF16,ND,206.21,bf16
dynamic,AI_CORE,"2,256;8192,256",DT_BF16;DT_BF16,ND;ND,"2,8192",DT_BF16,ND,7.06,bf16
dynamic,AI_CORE,"2,512;8192,512",DT_BF16;DT_BF16,ND;ND,"2,8192",DT_BF16,ND,8.95,bf16
dynamic,AI_CORE,"2,1024;8192,1024",DT_BF16;DT_BF16,ND;ND,"2,8192",DT_BF16,ND,12.16,bf16
dynamic,AI_CORE,"2,2048;8192,2048",DT_BF16;DT_BF16,ND;ND,"2,8192",DT_BF16,ND,25.32,bf16
dynamic,AI_CORE,"2,4096;8192,4096",DT_BF16;DT_BF16,ND;ND,"2,8192",DT_BF16,ND,56.54,bf16
dynamic,AI_CORE,"2,7168;8192,7168",DT_BF16;DT_BF16,ND;ND,"2,8192",DT_BF16,ND,99.94,bf16
dynamic,AI_CORE,"2,8192;8192,8192",DT_BF16;DT_BF16,ND;ND,"2,8192",DT_BF16,ND,102.58,bf16
dynamic,AI_CORE,"2,12288;8192,12288",DT_BF16;DT_BF16,ND;ND,"2,8192",DT_BF16,ND,166.10,bf16
dynamic,AI_CORE,"2,16384;8192,16384",DT_BF16;DT_BF16,ND;ND,"2,8192",DT_BF16,ND,204.65,bf16
dynamic,AI_CORE,"2,256;12288,256",DT_BF16;DT_BF16,ND;ND,"2,12288",DT_BF16,ND,8.00,bf16
dynamic,AI_CORE,"2,512;12288,512",DT_BF16;DT_BF16,ND;ND,"2,12288",DT_BF16,ND,9.74,bf16
dynamic,AI_CORE,"2,1024;12288,1024",DT_BF16;DT_BF16,ND;ND,"2,12288",DT_BF16,ND,12.94,bf16
dynamic,AI_CORE,"2,2048;12288,2048",DT_BF16;DT_BF16,ND;ND,"2,12288",DT_BF16,ND,40.89,bf16
dynamic,AI_CORE,"2,4096;12288,4096",DT_BF16;DT_BF16,ND;ND,"2,12288",DT_BF16,ND,74.12,bf16
dynamic,AI_CORE,"2,7168;12288,7168",DT_BF16;DT_BF16,ND;ND,"2,12288",DT_BF16,ND,143.43,bf16
dynamic,AI_CORE,"2,8192;12288,8192",DT_BF16;DT_BF16,ND;ND,"2,12288",DT_BF16,ND,146.11,bf16
dynamic,AI_CORE,"2,12288;12288,12288",DT_BF16;DT_BF16,ND;ND,"2,12288",DT_BF16,ND,236.60,bf16
dynamic,AI_CORE,"2,256;16384,256",DT_BF16;DT_BF16,ND;ND,"2,16384",DT_BF16,ND,9.00,bf16
