framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,128,0.00411,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,128,0.00515,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,128,0.00497,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,128,0.0146,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,256,0.00398,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,256,0.0042,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,256,0.00507,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,256,0.01466,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,272,0.0052,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,512,0.00307,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,512,0.00422,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,512,0.00506,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,512,0.01459,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,528,0.00509,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,1024,0.00402,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,1024,0.0053,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,1024,0.00514,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,1024,0.01453,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,1152,0.00418,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,1152,0.00442,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,1152,0.0052,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,2048,0.00309,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,2048,0.00434,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,2048,0.0052,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,2048,0.0147,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,3072,0.0032,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,3072,0.00436,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,3072,0.00516,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,4096,0.00306,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,4096,0.00433,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,4096,0.00516,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,4096,0.01437,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,7168,0.00317,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,7168,0.00443,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,7168,0.00517,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,8192,0.00323,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,8192,0.00446,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,8192,0.00513,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,8192,0.01479,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,14336,0.00328,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,14336,0.00456,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,14336,0.00534,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,16384,0.00338,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,16384,0.00458,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,16384,0.00547,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,16384,0.01518,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,19008,0.01531,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,32320,0.00619,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,32768,0.00366,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,32768,0.00487,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,32768,0.00632,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,32768,0.01612,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,64640,0.00469,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,64640,0.00596,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,64640,0.00829,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,65536,0.00471,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,65536,0.00596,AUTO
