framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,gemm_type,mla_dtype,kv_cache_dtype,architecture,latency
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,512,64,float16,float16,float16,DeepseekV32ForCausalLM,1.944895
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,2048,64,float16,float16,float16,DeepseekV32ForCausalLM,38.488118
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1.303245
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,16,64,float16,float16,float16,DeepseekV32ForCausalLM,1.350851
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,32,64,float16,float16,float16,DeepseekV32ForCausalLM,1.371692
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,64,64,float16,float16,float16,DeepseekV32ForCausalLM,1.314217
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,128,64,float16,float16,float16,DeepseekV32ForCausalLM,1.395493
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,256,64,float16,float16,float16,DeepseekV32ForCausalLM,1.411116
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,512,64,float16,float16,float16,DeepseekV32ForCausalLM,1.907256
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,1024,64,float16,float16,float16,DeepseekV32ForCausalLM,3.785011
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,1536,64,float16,float16,float16,DeepseekV32ForCausalLM,6.181265
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,2048,64,float16,float16,float16,DeepseekV32ForCausalLM,9.561685
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,3072,64,float16,float16,float16,DeepseekV32ForCausalLM,15.012561
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,4096,64,float16,float16,float16,DeepseekV32ForCausalLM,21.159866
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,6144,64,float16,float16,float16,DeepseekV32ForCausalLM,33.351042
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,8192,64,float16,float16,float16,DeepseekV32ForCausalLM,42.827417
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,10240,64,float16,float16,float16,DeepseekV32ForCausalLM,55.829526
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,12288,64,float16,float16,float16,DeepseekV32ForCausalLM,68.703662
