framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,256,256,0.0052
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,512,512,0.00523
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,1024,1024,0.00537
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,2048,2048,0.00598
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,4096,4096,0.00662
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,7168,7168,0.00753
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,8192,8192,0.0081
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,12288,12288,0.00962
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,16384,16384,0.02999
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,256,256,0.00533
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,512,512,0.009880000000000002
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,1024,1024,0.00999
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,2048,2048,0.009699999999999999
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,4096,4096,0.01002
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,7168,7168,0.010060000000000001
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,8192,8192,0.009789999999999998
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,12288,12288,0.012150000000000001
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,16384,16384,0.02994
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,256,256,0.00607
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,512,512,0.00637
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,1024,1024,0.00868
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,2048,2048,0.01145
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,4096,4096,0.01696
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,7168,7168,0.02537
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,8192,8192,0.028059999999999998
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,12288,12288,0.03917
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,16384,16384,0.050320000000000004
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,256,256,0.00594
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,512,512,0.0068
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,1024,1024,0.00869
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,2048,2048,0.0114
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,4096,4096,0.01688
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,7168,7168,0.02528
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,8192,8192,0.02475
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,12288,12288,0.04939
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,16384,16384,0.061810000000000004
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,256,256,0.00654
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,512,512,0.00767
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,1024,1024,0.009130000000000001
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,2048,2048,0.011949999999999999
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,4096,4096,0.02299
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,7168,7168,0.05251
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,8192,8192,0.054439999999999995
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,12288,12288,0.09294
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,16384,16384,0.11652
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,256,256,0.00754
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,512,512,0.00851
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,1024,1024,0.01463
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,2048,2048,0.02693
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,4096,4096,0.054329999999999996
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,7168,7168,0.10013
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,8192,8192,0.08465
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,12288,12288,0.15680000000000002
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,16384,16384,0.20192
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,256,256,0.00698
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,512,512,0.00886
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,1024,1024,0.01205
vllm-ascend,0.18.0,Ascend 910B,gemm,vllm_ascend_default,float16,1,2048,2048,0.019379999999999998
