framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,2048,1408,6,64,1,1,power_law_1.2,0.10699
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,2048,1408,6,64,1,1,power_law_1.2,0.17011
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,2048,1408,6,64,1,1,power_law_1.2,0.29871
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,2048,1408,6,64,1,1,power_law_1.2,0.43471
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,2048,1408,6,64,1,1,power_law_1.2,0.65404
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,2048,1408,6,64,1,1,power_law_1.2,0.8020499999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,2048,1408,6,64,1,1,power_law_1.2,0.83654
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,2048,1408,6,64,1,1,power_law_1.2,0.83784
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,2048,1408,6,64,1,1,power_law_1.2,0.8490599999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,2048,1408,6,64,1,1,power_law_1.2,0.86288
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,2048,1408,6,64,1,1,power_law_1.2,0.90266
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,2048,1408,6,64,1,1,power_law_1.2,1.54593
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,2048,1408,6,64,1,1,power_law_1.2,2.46233
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,5120,1536,6,160,1,4,power_law_1.2,0.06827
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,5120,1536,6,160,1,4,power_law_1.2,0.17956999999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,5120,1536,6,160,1,4,power_law_1.2,0.24905000000000002
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,5120,1536,6,160,1,4,power_law_1.2,0.24958000000000002
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,5120,1536,6,160,1,4,power_law_1.2,0.6284
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,5120,1536,6,160,1,4,power_law_1.2,1.06452
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,5120,1536,6,160,1,4,power_law_1.2,1.36647
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,5120,1536,6,160,1,4,power_law_1.2,1.46143
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,5120,1536,6,160,1,4,power_law_1.2,1.47752
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,5120,1536,6,160,1,4,power_law_1.2,1.4943199999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,5120,1536,6,160,1,4,power_law_1.2,1.54722
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,5120,1536,6,160,1,4,power_law_1.2,1.7501099999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,5120,1536,6,160,1,4,power_law_1.2,2.79729
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,7168,2048,8,256,1,8,power_law_1.2,0.11581
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,7168,2048,8,256,1,8,power_law_1.2,0.11543
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,7168,2048,8,256,1,8,power_law_1.2,0.18647999999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,7168,2048,8,256,1,8,power_law_1.2,0.59403
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,7168,2048,8,256,1,8,power_law_1.2,0.49023
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,7168,2048,8,256,1,8,power_law_1.2,1.27276
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,7168,2048,8,256,1,8,power_law_1.2,1.65661
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,7168,2048,8,256,1,8,power_law_1.2,1.9881
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,7168,2048,8,256,1,8,power_law_1.2,2.07577
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,7168,2048,8,256,1,8,power_law_1.2,2.12897
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,7168,2048,8,256,1,8,power_law_1.2,2.18033
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,7168,2048,8,256,1,8,power_law_1.2,2.69324
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,7168,2048,8,256,1,8,power_law_1.2,3.6496999999999997
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,7168,2048,8,256,1,8,power_law_1.2,0.06573999999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,7168,2048,8,256,1,8,power_law_1.2,0.06425
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,7168,2048,8,256,1,8,power_law_1.2,0.41545
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,7168,2048,8,256,1,8,power_law_1.2,0.48918
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,7168,2048,8,256,1,8,power_law_1.2,0.91272
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,7168,2048,8,256,1,8,power_law_1.2,1.28621
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,7168,2048,8,256,1,8,power_law_1.2,1.84067
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,7168,2048,8,256,1,8,power_law_1.2,2.05144
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,7168,2048,8,256,1,8,power_law_1.2,2.07636
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,7168,2048,8,256,1,8,power_law_1.2,2.12094
