nccl_dtype,num_gpus,message_size,kernel_source,op_name,latency
half,2,128,HCCL,all_gather,0.00306
half,4,128,HCCL,all_gather,0.00398
half,8,128,HCCL,all_gather,0.00614
half,16,128,HCCL,all_gather,0.02121
half,2,256,HCCL,all_gather,0.00315
half,4,256,HCCL,all_gather,0.00411
half,8,256,HCCL,all_gather,0.00625
half,16,256,HCCL,all_gather,0.02137
half,8,272,HCCL,all_gather,0.00655
half,2,512,HCCL,all_gather,0.00301
half,4,512,HCCL,all_gather,0.00411
half,8,512,HCCL,all_gather,0.00624
half,16,512,HCCL,all_gather,0.02116
half,8,528,HCCL,all_gather,0.00663
half,2,1024,HCCL,all_gather,0.00546
half,4,1024,HCCL,all_gather,0.00428
half,8,1024,HCCL,all_gather,0.00666
half,16,1024,HCCL,all_gather,0.02125
half,2,1152,HCCL,all_gather,0.0056
half,4,1152,HCCL,all_gather,0.00429
half,8,1152,HCCL,all_gather,0.00649
half,2,2048,HCCL,all_gather,0.00304
half,4,2048,HCCL,all_gather,0.00438
half,8,2048,HCCL,all_gather,0.00658
half,16,2048,HCCL,all_gather,0.02152
half,2,3072,HCCL,all_gather,0.0032
half,4,3072,HCCL,all_gather,0.00433
half,8,3072,HCCL,all_gather,0.00668
half,2,4096,HCCL,all_gather,0.00308
half,4,4096,HCCL,all_gather,0.00434
half,8,4096,HCCL,all_gather,0.00667
half,16,4096,HCCL,all_gather,0.02134
half,2,7168,HCCL,all_gather,0.00313
half,4,7168,HCCL,all_gather,0.00433
half,8,7168,HCCL,all_gather,0.00667
half,2,8192,HCCL,all_gather,0.00312
half,4,8192,HCCL,all_gather,0.00437
half,8,8192,HCCL,all_gather,0.0066
half,16,8192,HCCL,all_gather,0.02131
half,2,14336,HCCL,all_gather,0.00323
half,4,14336,HCCL,all_gather,0.00443
half,8,14336,HCCL,all_gather,0.00674
half,2,16384,HCCL,all_gather,0.00333
half,4,16384,HCCL,all_gather,0.00451
half,8,16384,HCCL,all_gather,0.00683
half,16,16384,HCCL,all_gather,0.02179
half,16,19008,HCCL,all_gather,0.02166
half,8,32320,HCCL,all_gather,0.00743
half,2,32768,HCCL,all_gather,0.0036
half,4,32768,HCCL,all_gather,0.00524
half,8,32768,HCCL,all_gather,0.00764
half,16,32768,HCCL,all_gather,0.02262
half,2,64640,HCCL,all_gather,0.00439
half,4,64640,HCCL,all_gather,0.00703
half,8,64640,HCCL,all_gather,0.00967
half,2,65536,HCCL,all_gather,0.00447
half,4,65536,HCCL,all_gather,0.00701
half,8,65536,HCCL,all_gather,0.00967
half,16,65536,HCCL,all_gather,0.02573
half,8,74880,HCCL,all_gather,0.01014
half,16,75968,HCCL,all_gather,0.02682
half,2,129280,HCCL,all_gather,0.00617
half,4,129280,HCCL,all_gather,0.01052
half,8,129280,HCCL,all_gather,0.01312
half,2,131072,HCCL,all_gather,0.00618
half,4,131072,HCCL,all_gather,0.01072
half,8,131072,HCCL,all_gather,0.01347
half,16,131072,HCCL,all_gather,0.03177
half,8,149760,HCCL,all_gather,0.01438
half,16,163840,HCCL,all_gather,0.03475
half,8,223488,HCCL,all_gather,0.01852
half,2,262144,HCCL,all_gather,0.00993
half,4,262144,HCCL,all_gather,0.0179
half,8,262144,HCCL,all_gather,0.02093
half,16,262144,HCCL,all_gather,0.04281
half,16,284880,HCCL,all_gather,0.04575
half,2,294912,HCCL,all_gather,0.01067
half,4,294912,HCCL,all_gather,0.01925
half,8,294912,HCCL,all_gather,0.02256
half,16,303872,HCCL,all_gather,0.04742
half,16,327680,HCCL,all_gather,0.04906
half,8,465920,HCCL,all_gather,0.03188
half,2,524288,HCCL,all_gather,0.01389
half,4,524288,HCCL,all_gather,0.03124
half,8,524288,HCCL,all_gather,0.03603
half,16,524288,HCCL,all_gather,0.066
half,16,588752,HCCL,all_gather,0.07498
half,8,595968,HCCL,all_gather,0.15675
half,16,607744,HCCL,all_gather,0.07763
half,2,786432,HCCL,all_gather,0.09784
half,4,786432,HCCL,all_gather,0.12017
half,8,786432,HCCL,all_gather,0.15986
half,8,946176,HCCL,all_gather,0.16613
half,2,1048576,HCCL,all_gather,0.09115
half,4,1048576,HCCL,all_gather,0.12313
half,8,1048576,HCCL,all_gather,0.16442
half,16,1048576,HCCL,all_gather,0.13905
half,16,1320960,HCCL,all_gather,0.177
half,2,1863680,HCCL,all_gather,0.10305
half,4,1863680,HCCL,all_gather,0.14497
half,8,1863680,HCCL,all_gather,0.16552
half,2,2097152,HCCL,all_gather,0.10323
half,4,2097152,HCCL,all_gather,0.13775
half,8,2097152,HCCL,all_gather,0.16054
half,16,2097152,HCCL,all_gather,0.2392
half,16,2641920,HCCL,all_gather,0.28285
half,16,2652160,HCCL,all_gather,0.29003
half,8,2781184,HCCL,all_gather,0.17626
half,2,3670016,HCCL,all_gather,0.11113
half,4,3670016,HCCL,all_gather,0.1655
half,8,3670016,HCCL,all_gather,0.16829
