OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Quant Type
dynamic,AI_CORE,"1,256;256,256",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,38.49,bf16
dynamic,AI_CORE,"1,512;256,512",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,38.12,bf16
dynamic,AI_CORE,"1,1024;256,1024",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,38.16,bf16
dynamic,AI_CORE,"1,2048;256,2048",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,37.81,bf16
dynamic,AI_CORE,"1,4096;256,4096",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,37.20,bf16
dynamic,AI_CORE,"1,7168;256,7168",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,37.94,bf16
dynamic,AI_CORE,"1,8192;256,8192",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,37.06,bf16
dynamic,AI_CORE,"1,12288;256,12288",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,37.13,bf16
dynamic,AI_CORE,"1,16384;256,16384",DT_BF16;DT_BF16,ND;ND,"1,256",DT_BF16,ND,36.95,bf16
dynamic,AI_CORE,"1,256;512,256",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,37.27,bf16
dynamic,AI_CORE,"1,512;512,512",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,40.50,bf16
dynamic,AI_CORE,"1,1024;512,1024",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,37.23,bf16
dynamic,AI_CORE,"1,2048;512,2048",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,37.21,bf16
dynamic,AI_CORE,"1,4096;512,4096",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,37.03,bf16
dynamic,AI_CORE,"1,7168;512,7168",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,37.03,bf16
dynamic,AI_CORE,"1,8192;512,8192",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,37.53,bf16
dynamic,AI_CORE,"1,12288;512,12288",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,38.33,bf16
dynamic,AI_CORE,"1,16384;512,16384",DT_BF16;DT_BF16,ND;ND,"1,512",DT_BF16,ND,38.15,bf16
dynamic,AI_CORE,"1,256;1024,256",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,38.09,bf16
dynamic,AI_CORE,"1,512;1024,512",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,38.09,bf16
dynamic,AI_CORE,"1,1024;1024,1024",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,37.93,bf16
dynamic,AI_CORE,"1,2048;1024,2048",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,37.93,bf16
dynamic,AI_CORE,"1,4096;1024,4096",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,37.84,bf16
dynamic,AI_CORE,"1,7168;1024,7168",DT_BF16;DT_BF16,ND;ND,"1,1024",DT_BF16,ND,37.82,bf16
