framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,8,0,128,1,float16,float16,0,0.07457
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,8,1,128,1,float16,float16,0,0.04871
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,8,4,128,1,float16,float16,0,0.08387
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,8,0,128,1,float16,float16,0,0.04985
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,16,0,128,1,float16,float16,0,0.04692
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,16,1,128,1,float16,float16,0,0.05216
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,16,4,128,1,float16,float16,0,0.05248
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,16,8,128,1,float16,float16,0,0.052469999999999996
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,32,0,128,1,float16,float16,0,0.048530000000000004
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,32,1,128,1,float16,float16,0,0.05803
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,32,4,128,1,float16,float16,0,0.05871
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,32,8,128,1,float16,float16,0,0.05857
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,40,0,128,1,float16,float16,0,0.052649999999999995
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,40,1,128,1,float16,float16,0,0.06255
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,40,4,128,1,float16,float16,0,0.06104
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,40,8,128,1,float16,float16,0,0.06262
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,64,0,128,1,float16,float16,0,0.0615
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,64,1,128,1,float16,float16,0,0.0643
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,64,4,128,1,float16,float16,0,0.06487000000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,128,64,8,128,1,float16,float16,0,0.06563
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,256,8,0,128,1,float16,float16,0,0.04219
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,256,8,1,128,1,float16,float16,0,0.05166
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,256,8,4,128,1,float16,float16,0,0.05166
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,256,8,0,128,1,float16,float16,0,0.04668
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,256,16,0,128,1,float16,float16,0,0.05683
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,256,16,1,128,1,float16,float16,0,0.05969
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,256,16,4,128,1,float16,float16,0,0.0613
