framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,127,0.05779
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,1,128,1,float16,float16,127,0.0594
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,4,128,1,float16,float16,127,0.057030000000000004
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,8,0,128,1,float16,float16,127,0.05901
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,0,128,1,float16,float16,127,0.05828
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,1,128,1,float16,float16,127,0.0601
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,4,128,1,float16,float16,127,0.059359999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,16,8,128,1,float16,float16,127,0.05892
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,0,128,1,float16,float16,127,0.06317
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,1,128,1,float16,float16,127,0.0629
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,4,128,1,float16,float16,127,0.06062
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,32,8,128,1,float16,float16,127,0.059969999999999996
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,0,128,1,float16,float16,127,0.06039
vllm-ascend,0.18.0,Ascend 910B,generation_attention,vllm_ascend_flash_attn,1,1,40,1,128,1,float16,float16,127,0.06007
